Location,State,District,House Member,Senate R,Senate D
"Anchorage, AK United States",AK,At-Large,Don Young,,
"Huntsville, AL United States",AL,5,Mo Brooks,,
"Little Rock, AR United States",AR,2,French Hill,,
"Russellville, AR United States",AR,4,Steve Womack,,
"Mtn Home, AR United States",AR,1,Rick Crawford,,
"Lakeview, AR United States",AR,3,Rick Crawford,,
"Phoenix, AZ United States",AZ,1,Ruben Gallago,,
"Chandler, AZ United States",AZ,5,Andy Biggs,,
"Flagstaff, AZ United States",AZ,1,,,
"Pinetop, AZ United States",AZ,1,,,
"Ridgecrest, CA United States",CA,23,,,
"Sacramento, CA United States",CA,6,,,
"Newbury Pk, CA United States",CA,26,,,
"Walnut Creek, CA United States",CA,11,,,
"Downey, CA United States",CA,40,,,
"Sacramento, CA United States",CA,6,,,
"Newbury Park, CA United States",CA,26,,,
"Coarsegold, CA United States",CA,16,,,
"Santa Ana, CA United States",CA,46,,,
"Grass Valley, CA United States",CA,1,,,
"Alamo, CA United States",CA,11,,,
"San Diego, CA United States",CA,52,,,
"Victorville, CA United States",CA,8,,,
"Visalia, CA United States",CA,22,,,
"Corte Madera, CA United States",CA,2,,,
"Novato, CA United States",CA,2,,,
"San Diego, CA United States",CA,52,,,
"Santa Clarita, CA United States",CA,25,,,
"Ventura, CA United States",CA,26,,,
"Redding, CA United States",CA,1,,,
"Van Nuys, CA United States",CA,29,,,
"Modesto, CA United States",CA,10,,,
"Rowland Hts, CA United States",CA,39,,,
"Chino, CA United States",CA,39,,,
"Broomfield, CO United States",CO,2,,,
"Wheat Ridge, CO United States",CO,7,,,
"Littleton, CO United States",CO,6,,,
"Pueblo, CO United States",CO,3,,,
"East Hartford, CT United States",CT,1,,,
"Naples, FL United States",FL,19,,,
"St Petersburg, FL United States",FL,13,,,
"Tallahassee, FL United States",FL,2,,,
"Pensacola, FL United States",FL,1,,,
"Fort Lauderdale, FL United States",FL,22,,,
"Sarasota, FL United States",FL,16,,,
"Edgewater, FL United States",FL,6,,,
"Destin, FL United States",FL,1,,,
"Fort Myers, FL United States",FL,19,,,
"St Petersburg, FL United States",FL,13,,,
"Spring Hill, FL United States",FL,11,,,
"Palm City, FL United States",FL,18,,,
"Atlanta, GA United States",GA,5,,,
"Dahlonega, GA United States",GA,9,,,
"Alpharetta, GA United States",GA,6,,,
"Jesup, GA United States",GA,1,,,
"Boise, ID United States",ID,1,,,
"Athol, ID United States",ID,1,,,
"Twin Falls, ID United States",ID,2,,,
"Idaho Falls, ID United States",ID,2,,,
"Wheaton, IL United States",IL,6,,,
"South Bend, IN United States",IN,2,,,
"Wichita, KS United States",KS,4,,,
"Edgerton, KS United States",KS,1,,,
"Shawnee Mission, KS United States",KS,3,,,
"Burlington, KY United States",KY,4,,,
"Sulphur, LA United States",LA,1,,,
"Metairie, LA United States",LA,1,,,
"Shreveport, LA United States",LA,4,,,
"Baton Rouge, LA United States",LA,6,,,
"Hagerstown, MD United States",MD,6,,,
"Pylesville, MD United States",MD,1,,,
"Davidsonville, MD United States",MD,4,,,
"Frederick, MD United States",MD,8,,,
"Grayling, MI United States",MI,1,,,
"Pentwater, MI United States",MI,2,,,
"Benton Harbor, MI United States",MI,6,,,
"Livonia, MI United States",MI,11,,,
"Okemos, MI United States",MI,8,,,
"Grayling, MI United States",MI,1,,,
"Pentwater, MI United States",MI,2,,,
"Duluth, MN United States",MN,8,,,
"St. Paul, MN United States",MN,4,,,
"Mehahga, MN United States",MN,4,,,
"Jefferson City, MO United States",MO,3,,,
"Joplin, MO United States",MO,7,,,
"Mokane, MO United States",MO,1,,,
"Springfield, MO United States",MO,7,,,
"Ozark, MO United States",MO,7,,,
"Tupelo, MS United States",MS,1,,,
"Gautier, MS United States",MS,4,,,
"Victor, MT United States",MT,At-Large,,,
"Kalispell, MT United States",MT,At-Large,,,
"Southport, NC United States",NC,7,,,
"Salisbury, NC United States",NC,12,,,
"Stella, NC United States",NC,7,,,
"Mooresville, NC United States",NC,12,,,
"Â Brevard, NC United States",NC,11,,,
"Greensboro, NC United States",NC,12,,,
"Lincoln, NE United States",NE,1,,,
"New Boston, NH United States",NH,2,,,
"Westwood, NJ United States",NJ,5,,,
"Northfield, NJ United States",NJ,2,,,
"Mickleton, NJ United States",NJ,7,,,
"Las Vegas, NV United States",NV,1,,,
"Reno, NV United States",NV,2,,,
"Endicott, NY United States",NY,22,,,
"Mechanicville, NY United States",NY,20,,,
"Cuddebackville, NY United States",NY,19,,,
"West Seneca, NY United States",NY,26,,,
"Big Flats, NY United States",NY,23,,,
"Farmington, NY United States",NY,14,,,
"New York, NY United States",NY,1,,,
"Cuddebackville, NY United States",NY,19,,,
"Cincinnati, OH United States",OH,4,,,
"Shelby, OH United States",OH,4,,,
"Avon, OH United States",OH,7,,,
"Dayton, OH United States",OH,10,,,
"Shelby, OH United States",OH,4,,,
"Toledo, OH United States",OH,9,,,
"Painesville, OH United States",OH,14,,,
"Bartlesville, OK United States",OK,1,,,
"Springfield, OR United States",OR,4,,,
"Waldport, OR United States",OR,5,,,
"Sisters, OR United States",OR,5,,,
"Bend, OR United States",OR,2,,,
"Sisters, OR United States",OR,5,,,
"La Grande, OR United States",OR,2,,,
"Klamath Falls, OR United States",OR,2,,,
"Eugene, OR United States",OR,4,,,
"Salem, OR United States",OR,5,,,
"Medford, OR United States",OR,2,,,
"Salem, OR United States",OR,5,,,
"Lake Oswego, OR United States",OR,3,,,
"Roseburg, OR United States",OR,4,,,
"Hillboro, OR United States",OR,1,,,
"Carlisle, PA United States",PA,11,,,
"Franklin, PA United States",PA,5,,,
"Rapid City, SD United States",SD,At-Large,,,
"Memphis, TN United States",TN,9,,,
"Cleveland, TN United States",TN,4,,,
"Abilene, TX United States",TX,19,,,
"San Antonio, TX United States",TX,20,,,
"Austin, TX United States",TX,10,,,
"Corpus Christi, TX United States",TX,27,,,
"Dallas, TX United States",TX,30,,,
"Arlington, TX United States",TX,6,,,
"Fort Worth, TX United States",TX,12,,,
"Fredericksburg, TX United States",TX,11,,,
"Kerrville, TX United States",TX,21,,,
"Melissa, TX United States",TX,3,,,
"Tyler, TX United States",TX,1,,,
"Lubbock, TX United States",TX,19,,,
"New Braunfels, TX United States",TX,21,,,
"Lufkin, TX United States",TX,1,,,
"Sherman, TX United States",TX,5,,,
"Los Fresnos, TX United States",TX,34,,,
"Georgetown, TX United States",TX,31,,,
"Houston, TX United States",TX,8,,,
"Fort Worth, TX United States",TX,12,,,
"Salt Lake City, UT United States",UT,2,,,
"Fredericksburg, VA United States",VA,1,,,
"Vienna, VA United States",VA,11,,,
"Lake Tapps, WA United States",WA,8,,,
"Bainbridge Island, WA United States",WA,8,,,
"Vancouver, WA United States",WA,3,,,
"Pullman, WA United States",WA,5,,,
"Longview, WA United States",WA,3,,,
"Everett, WA United States",WA,2,,,
"Olympia, WA United States",WA,10,,,
"Anacortes, WA United States",WA,7,,,
"Longview, WA United States",WA,3,,,
"Seattle, WA United States",WA,7,,,
"Bellevue, WA United States",WA,9,,,
"Gig Harbor, WA United States",WA,6,,,
"Spokane, WA United States",WA,5,,,
"Wenatchee, WA United States",WA,8,,,
"Pulaski, WI United States",WI,8,,,
"Shepherdstown, WV United States",WV,2,,,
"Lander, WY United States",WY,At-Large,,,
